Category L1,Category L2,Category L3,Grade Precedence,Grade,Item Condition,Functional,Physical Condition,Packaging Condition,Accessories
Computers Peripherals,Gaming Laptops,Mainstream Gaming,,,,,,,
Computers Peripherals,Gaming Laptops,Pro Gaming,,,,,,,
Communication,Smart Phones (OS Based),Windows Phone - D,,,,,,,
Communication,Lifestyle & Wearables,Smartwatch,,,,,,,
Computers Peripherals,Mobile Computing,ACER -NOTEBOOKS-CONS,,,,,,,
Communication,Smart Phones (OS Based),I phones D,,,,,,,
Communication,Smart Phones (OS Based),Ins - Smart Phones,,,,,,,
Computers Peripherals,Tablets & Detachables,ExWty-Tablets,,,,,,,
Computers Peripherals,Tablets & Detachables,DELL-TABS-CONS,,,,,,,
Computers Peripherals,PC Accessories,DELL-ATTACHMENTS-CONS,,,,,,,
Communication,Lifestyle & Wearables,Lifestyle,,,,,,,
Communication,Lifestyle & Wearables,Fitness Bands,,,,,,,
Communication,Lifestyle & Wearables,Fitness Bands - D,,,,,,,
Communication,Phones Mobile,Basic Phones D,,,,,,,
Communication,Smart Phones (OS Based),Phablets D,,,,,,,
Communication,Smart Phones (OS Based),Phablets,,,,,,,
Communication,Smart Phones (OS Based),Blackberry Phones D,,,,,,,
Communication,Lifestyle & Wearables,Smartwatch - D,,,,,,,
Computers Peripherals,Mobile Computing,Extended Warranty Mobile Computing,,,,,,,
Imaging,DSLR Cameras,ExWty- DSLR Cameras,,,,,,,
Communication,Lifestyle & Wearables,Mobile Projectors,,,,,,,
Imaging,Digital Cameras,Ins - Digital Cameras,,,,,,,
Communication,Lifestyle & Wearables,Virtual Reality,,,,,,,
Communication,Lifestyle & Wearables,Lifestyle - Premium,,,,,,,
Computers Peripherals,Desktops,PC Desktop - Gaming,,,,,,,
Communication,Lifestyle & Wearables,Wearables Accessories,,,,,,,
Imaging,Digital Cameras,Action & Sports Cam,,,,,,,
Imaging,Digital Cameras,360 Degree Cameras,,,,,,,
Computers Peripherals,Tablets & Detachables,Ins - Tablets,,,,,,,
Computers Peripherals,Mobile Computing,Ins - Mobile Computing,,,,,,,
Entertainment,TV LCD,LCD Accessories_L,,,,,,,
Computers Peripherals,Desktops,DELL-DESKTOP-CONS,,,,,,,
Communication,Lifestyle & Wearables,ExWty- Smart watches,,,,,,,
Entertainment,TV LCD,"LED Panels 28""",,,,,,,
Computers Peripherals,Gaming Laptops,Pro Gaming Demo,,,,,,,
Communication,Refurbished Phones,REFB MOBILES,,,,,,,
Entertainment,TV LCD,Smart Screen,,,,,,,
Communication,Lifestyle & Wearables,Virtual Reality_L,,,,,,,
Communication,Smart Phones (OS Based),SP- Smart Phones,,,,,,,
Computers Peripherals,Tablets & Detachables,SP- Tablets,,,,,,,
Computers Peripherals,Mobile Computing,SP - Mobile Computing,,,,,,,
Computers Peripherals,Desktops,SP- Desktop,,,,,,,
Entertainment,TV LCD,SP - Television,,,,,,,
Computers Peripherals,Gaming Laptops,ExWty- Gaming Laptops,,,,,,,
Communication,Smart Phones (OS Based),Mass Premium Phones,,,,,,,
Communication,Smart Phones (OS Based),Entry,,,,,,,
Communication,Smart Phones (OS Based),Value Phone-D,,,,,,,
Communication,Smart Phones (OS Based),Value Phones,,,,,,,
Communication,Smart Phones (OS Based),Mass Premium Phones - D,,,,,,,
Communication,Smart Phones (OS Based),Premium Phones,,,,,,,
Communication,Smart Phones (OS Based),Entry-D,,,,,,,
Communication,Smart Phones (OS Based),Flagship Phones,,,,,,,
Communication,Smart Phones (OS Based),Premium Phones-D,,,,,,,
Communication,Smart Phones (OS Based),Flagship Phones-D,,,,,,,
Communication,Lifestyle & Wearables,Ins - Smart watches,,,,,,,
Computers Peripherals,Tablets & Detachables,Graphic Tablet,,,,,,,
Computers Peripherals,Monitors,Monitors - 27 & Above_H,,,,,,,
Entertainment,TV LCD,"LED Panels 75""+",,,,,,,
,,,End,,,,,,
Small Appliances,Health & Personal Care,Hair Care,4,A,NA,No Issues,No Damage/No Dent/No Scratches/Minor Dent/Minor Scratches,Available/Damaged,Available/Not Available
Small Appliances,Air Purifier,Air Purifier Accessories,3,B,NA,No Issues,No Damage/No Dent/No Scratches/Minor Dent/Minor Scratches/Minor Damage,Available/Damaged/Not Available,Available/Not Available
Small Appliances,Kitchen Appliances,Flourmill,2,C,NA,No Issues/Minor Issues,No Damage/No Dent/No Scratches/Minor Dent/Minor Scratches/Minor Damage/Major Dent/Major Scratches,Available/Damaged/Not Available,Available/Not Available
Small Appliances,Kitchen Appliances,Juicers/Choppers/Blenders,1,D,NA,No Issues/Minor Issues/Major Issues,No Damage/No Dent/No Scratches/Minor Dent/Minor Scratches/Minor Damage/Major Dent/Major Scratches/Major Damage,Available/Damaged/Not Available,Available/Not Available
Small Appliances,Fans,Table / Pedestal Fans,,,,,,,
Small Appliances,Fans,Tower Fans,,,,,,,
Small Appliances,Fans,Ceiling Fans,,,,,,,
Small Appliances,Cooling & Heating Appliances,Room Coolers,,,,,,,
Small Appliances,Cooling & Heating Appliances,Room Heaters,,,,,,,
Small Appliances,Cookware,Gas Stoves/Cooktops,,,,,,,
Small Appliances,Cookware,Hobs,,,,,,,
