Parent Category Name(L1),Category Name (L2),Sub Category Name (L3),SubSubCategoryName (L4),Sub Category Name (L5),Sub Category Name (L6),BB Category File,Item detail,Compatible SKU Node,Compatible SKU Node Brand,Compatible SKU Node Model,Part Number,Serial Number 1,Serial Number 2,Capacity,Power Rating,Power (Watts),Number of Blades,Length of Blades,Color,Resolution in Mega Pixel,Optical Zoom,Number of speakers,"Connectivity Compatibility (Internet, Bluetooth, USB)",Storage (in GB),HDD (in GB),SSD (in GB),RAM (in GB),Resolution in (AXB),Back Camera Resolution (in MP),Front Camera Resolution (in MP),Music Playback time,Processor (IT),Processor (Mobile & Tablet),OS,OS Sticker,Screen Size (in Inches),Age Group,Type of Fabric,Fitting Apparel,Pattern Apparel,Size,Sleeve,Weight,Volume or Capacity (in ml),Power output (in watts) Speaker,Sound output Range (in Hz) Speaker,Type Television,Blower function,Suction Power (in watts),Type of Washing Machine Function,Type of Wshing Machine Load,Type of Washing Machine Washing,Washing System,Flavour,Functions Printer,Device chipset projector,Distance (in mtrs) Projector,Lamp life (in hours) Projector,Maximum Brightness (in lm) Projector,Resolution,Back up (in mins) UPS,Battery UPS,Type of cooking Microwave,Number of doors (Refrigerator),Type of Sandwitch,Capacity (in number),Type of technology Water Purifier,Fragarance,Material,Size Furniture,Number of Jars,Expiry Date,Number of HDD
Fashion and Style,Apparel,Kid's wear,Boys Clothing,Boy's Ethnic wear,Suit,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,11,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Kid's wear,Boys Clothing,Boy's Infant wear,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,11,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Kid's wear,Boys Clothing,Boy's Inner wear,Boy's Banyan/ Vests,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,11,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Kid's wear,Boys Clothing,Boy's Inner wear,Boy's Night wear,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,11,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Kid's wear,Boys Clothing,Boy's Inner wear,Boy's Swim wear,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,11,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Kid's wear,Boys Clothing,Boy's Inner wear,Boy's Track wear,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,11,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Kid's wear,Boys Clothing,Boy's Inner wear,Others,default,11,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,11,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Kid's wear,Boys Clothing,Boy's Inner wear,Underwear,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,11,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Kid's wear,Boys Clothing,Boy's Jackets,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,11,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Kid's wear,Boys Clothing,Boy's Jeans,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,11,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Kid's wear,Boys Clothing,Boy's Shorts,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,11,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Kid's wear,Boys Clothing,Boy's socks,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,11,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Kid's wear,Boys Clothing,Boy's T-Shirt,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Kid's wear,Boys Clothing,Boy's Trousers,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,11,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Kid's wear,Boys Clothing,Boy's Twin set,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,11,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Kid's wear,Boys Clothing,Others,,default,11,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,11,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
