Category L1,Category L2,Category L3
Charge,Shop in Shop,Entertainment_L
Computers Peripherals,Tablets & Detachables,Tablets - Mid
Computers Peripherals,Tablets & Detachables,Tablets - Entry
Computers Peripherals,E-Readers,E-Reader-Accessories
Computers Peripherals,Storage Media,Network Harddisks
Miscellaneous,Spares,Communications
Communication,Smart Phones (OS Based),Other OS
Imaging,DSLR Cameras,DSLR High End
Imaging,DSLR Cameras,Full Frame & Mirrorless
Computers Peripherals,Tablets & Detachables,Tablet Accessories
Entertainment,Batteries,Batteries Rechargeable
Entertainment,TV LCD,LED Panels 24 INCH
Entertainment,Batteries,Batteries Alkaline
Entertainment,Batteries,Battery Chargers / Accessories
Communication,Smart Phones (OS Based),Demo Mobile Phone
Imaging,DSLR Cameras,DSLR Entry Level
Charge,Simcard,Vodafone
Large Appliances,Washing Machines,Washing Machine Consignment
Charge,Simcard,Prepaid Simcards
Charge,ECharge,Aircel Echarge
Entertainment,Portable BT Speakers/MP3 Players,Speakers - Bluetooth/Portable_H
Large Appliances,Washing Machines,Washing Machine Kits
Entertainment,Earphones/Headphones,Premium Headphone
Miscellaneous,Croma Bags Plastic & Paper,Croma Take away Bags
Imaging,Travel Accessories,Travel Comfort
Imaging,Digital Cameras,PL Cameras
Entertainment,Dummy ENT LCD / LED / Plasma,Dummies LCD / LED / Plasma
Imaging,Dummy IMG Cameras / Camcorders,Dummy Cameras / Camcorders
Computers Peripherals,Dummy Laptop / Netbook / Tabs,Notebook -D
Gaming,Dummy Gaming Hardware,Gaming Accessories
Miscellaneous,Dummy Units Misc,Misc Dummy units
Computers Peripherals,Computer Bags,Trolley Bags
Large Appliances,Dummies,Dummies Washing Machines
Computers Peripherals,Computer Consignments,Printers Multi Function Consig
Entertainment,Batteries,Torches
Large Appliances,Dryers,Dryer Consignment
Large Appliances,Dishwashers,Dishwasher Consignment
Entertainment,Home Theatre,Home Theatre Blue Ray-High End
Computers Peripherals,Computer Consignments,Disney Consignment
Large Appliances,Air Conditioners,Stabilizer
Communication,Phones Mobile Providers,Recharge Vouchers
Computers Peripherals,Mobile Computing,Entry Level Laptops
Computers Peripherals,Mobile Computing,Premium
Computers Peripherals,Mobile Computing,Mainstream Consignment
Computers Peripherals,Mobile Computing,Ultra Thin Consignment
Small Appliances,Home Appliances,Robotic Vacuum Cleaners
Computers Peripherals,Mobile Computing,Premium Consignment
Computers Peripherals,Tablets & Detachables,Tablet Freebies
Entertainment,Mounts & Stands,DVD Stands
Computers Peripherals,Tablets & Detachables,E-Reader Accessories
Computers Peripherals,Mobile Computing,Gaming Consignment
Computers Peripherals,Mobile Computing,Ultra Thin
Small Appliances,Ovens & Cookers,OTG More Than 30L
Miscellaneous,Free Gifts,Coupons / Vouchers
Communication,Phones Mobile Accessories,Antivirus & Softwares
Communication,Phones Mobile,Dual Sim Phones D
Large Appliances,Air Conditioners,Tower AC
Large Appliances,Air Conditioners,Invertor AC
Large Appliances,Air Conditioners,Cassette AC
Entertainment,TV LCD,"LED Panels 65""+"
Small Appliances,Cookware,Cookware Accessories
Computers Peripherals,Mobile Computing,2-in-1
Charge,GEEK Services,Geek Services
Computers Peripherals,Mobile Computing,Ultra Thin D
Communication,Phones Mobile Accessories,Mounts & Enhancements
Computers Peripherals,Tablets & Detachables,Detachables
Communication,Phones Mobile Accessories,Powerbank_L
Charge,Onsite Service,Onsite Service
Computers Peripherals,Mobile Computing,Mainstream
Computers Peripherals,Mobile Computing,2 in 1 Consignment
Computers Peripherals,Desktops,Dell Desktop SNS
Entertainment,Earphones/Headphones,Headphones
Communication,Smart Phones (OS Based),Other OS D
Entertainment,Earphones/Headphones,Premium Earphone
Small Appliances,Water Purifiers RO,Water Purifiers RO
Large Appliances,Refrigerators,Refrigerator Frost Free more than 300L
Large Appliances,Refrigerators,Refrigerator Frost Free less than 300L
Small Appliances,Cookware,Built in_L
Small Appliances,Health & Personal Care,Massagers & Electrotherapy Devices
Computers Peripherals,PC Accessories,Adaptors/Cables/Hubs
Large Appliances,Refrigerators,Refrigerator Direct Cool less than 300L
Entertainment,Projectors,Portable
Computers Peripherals,Gaming Laptops,Entry Gaming
Computers Peripherals,Monitors,"Monitors - 22"""
Computers Peripherals,Monitors,"Monitors - 24"""
Computers Peripherals,Monitors,Gaming Monitors
Computers Peripherals,Monitors,"Monitors - 27"" & Above"
Computers Peripherals,Tablets & Detachables,iPad Accessories
Large Appliances,Refrigerators,Refrigerator Frost Free more than 400L
Large Appliances,Washing Machines,Washing Machine Accessories
Computers Peripherals,Gaming Laptops,Mainstream Gaming
Computers Peripherals,Gaming Laptops,Pro Gaming
,,
Music,CD Regional,CD Marathi
Movies,VCD Bollywood,VB New Hindi Film
Entertainment,Kits/Toys,Remote Control Cars
Communication,Smart Phones (OS Based),Windows Phone - D
Communication,Lifestyle & Wearables,Smartwatch
Computers Peripherals,Mobile Computing,ACER -NOTEBOOKS-CONS
Communication,Smart Phones (OS Based),I phones D
Communication,Smart Phones (OS Based),Ins - Smart Phones
Computers Peripherals,Networking,MIFI-WIFI PORTABLE ROUTERS
Small Appliances,Cookware,Built in_H
Imaging,Digital Cameras,Basic Cameras D
Imaging,Digital Cameras,Advanced Cameras D
Gaming,Gaming Hardware,Sony Play Station - 4 Hardware
Gaming,Gaming Software,Sony Play Station - 4 Games
Gaming,Gaming Hardware,PS4 Accessories
Computers Peripherals,Tablets & Detachables,ExWty-Tablets
Computers Peripherals,Tablets & Detachables,DELL-TABS-CONS
Entertainment,Audio Systems,DJ MACHINE_H
Imaging,Camcorders,Camcorders Flash Memory D
Computers Peripherals,PC Accessories,DELL-ATTACHMENTS-CONS
Imaging,Digital Cameras,Prosumer Cameras D
Computers Peripherals,Storage Media,Cloud Storage
Communication,Lifestyle & Wearables,Lifestyle
Communication,Lifestyle & Wearables,Fitness Bands
Communication,Lifestyle & Wearables,Fitness Bands - D
Communication,Phones Mobile,Basic Phones D
Charge,Simcard,Reliance
Imaging,Digital Cameras,Digicam Educational Kit
Communication,Smart Phones (OS Based),Phablets D
Communication,Smart Phones (OS Based),Phablets
Large Appliances,Dummies,Dummies Refrigerators
Computers Peripherals,PC Accessories,ACER-ATTACHMENTS
Charge,Onsite Service,Accidental Damage Service
Charge,Freight,Freight
Entertainment,MP3 Accessories,MP3 Accessories_L
Communication,Smart Phones (OS Based),Blackberry Phones D
Entertainment,Audio Systems,DJ MACHINE_L
Entertainment,Entertainment Accessories,Cleaners_L
Small Appliances,Air Purifier,Room Air Purifier
Computers Peripherals,Gaming Laptops,Entry Gaming Demo
