Category L1,Category L2,Category L3,Grade Precedence,Grade,Item Condition,Functional,Physical Condition,Packaging Condition,Accessories
Computers Peripherals,Mobile Computing,Entry Level Laptops,,,,,,,
Computers Peripherals,Mobile Computing,Premium,,,,,,,
Computers Peripherals,Mobile Computing,Mainstream Consignment,,,,,,,
Computers Peripherals,Mobile Computing,Ultra Thin Consignment,,,,,,,
Computers Peripherals,Mobile Computing,Premium Consignment,,,,,,,
Computers Peripherals,Tablets & Detachables,Tablet Freebies,,,,,,,
Computers Peripherals,Mobile Computing,Ultra Thin,,,,,,,
Communication,Phones Mobile,Dual Sim Phones D,,,,,,,
Entertainment,TV LCD,"LED Panels 65""+",,,,,,,
Computers Peripherals,Mobile Computing,2-in-1,,,,,,,
Computers Peripherals,Mobile Computing,Ultra Thin D,,,,,,,
Computers Peripherals,Tablets & Detachables,Detachables,,,,,,,
Computers Peripherals,Tablets & Detachables,E-Reader,,,,,,,
Computers Peripherals,Mobile Computing,Mainstream,,,,,,,
Computers Peripherals,Mobile Computing,2 in 1 Consignment,,,,,,,
Communication,Smart Phones (OS Based),Other OS D,,,,,,,
Communication,Smart Phones (OS Based),Windows Phone - D,,,,,,,
Computers Peripherals,Mobile Computing,ACER -NOTEBOOKS-CONS,,,,,,,
Communication,Smart Phones (OS Based),I phones D,,,,,,,
Communication,Smart Phones (OS Based),Ins - Smart Phones,,,,,,,
Imaging,Digital Cameras,Basic Cameras D,,,,,,,
Imaging,Digital Cameras,Advanced Cameras D,,,,,,,
Computers Peripherals,Tablets & Detachables,ExWty-Tablets,,,,,,,
Computers Peripherals,Tablets & Detachables,DELL-TABS-CONS,,,,,,,
Imaging,Camcorders,Camcorders Flash Memory D,,,,,,,
Imaging,Digital Cameras,Prosumer Cameras D,,,,,,,
Communication,Phones Mobile,Basic Phones D,,,,,,,
Imaging,Digital Cameras,Digicam Educational Kit,,,,,,,
Communication,Smart Phones (OS Based),Phablets D,,,,,,,
Communication,Smart Phones (OS Based),Phablets,,,,,,,
Communication,Smart Phones (OS Based),Blackberry Phones D,,,,,,,
Computers Peripherals,Mobile Computing,Extended Warranty Mobile Computing,,,,,,,
Imaging,DSLR Cameras,ExWty- DSLR Cameras,,,,,,,
Imaging,Digital Cameras,Ins - Digital Cameras,,,,,,,
Computers Peripherals,Desktops,PC Desktop - Gaming,,,,,,,
Imaging,Digital Cameras,Action & Sports Cam,,,,,,,
Imaging,Digital Cameras,360 Degree Cameras,,,,,,,
