Client Category L1,Client Category L2,Client Category L3,Category L1,Category L2,Category L3,Category L4,Category L5,Category L6,Bmaxx Parent,Bmaxx Child
Communication,Smart Phones (OS Based),Blackberry Phones D,Electronics and Appliances,Mobiles and Tablets,Mobile,,,,Mobiles and Tablets,Mobile
Communication,Lifestyle & Wearables,Smartwatch - D,Electronics and Appliances,Personal care appliances,Smart Watch,,,,Mobiles and Tablets,Mobile
Computers Peripherals,Mobile Computing,Extended Warranty Mobile Computing,IT,Desktop and Laptop,Others,,,,Mobiles and Tablets,Mobile
Imaging,DSLR Cameras,ExWty- DSLR Cameras,Electronics and Appliances,Home Appliances,Digital Camera,,,,Mobiles and Tablets,Mobile
Communication,Lifestyle & Wearables,Mobile Projectors,Electronics and Appliances,Others,,,,,Mobiles and Tablets,Mobile
Imaging,Digital Cameras,Ins - Digital Cameras,Electronics and Appliances,Home Appliances,Digital Camera,,,,Mobiles and Tablets,Mobile
Communication,Lifestyle & Wearables,Virtual Reality,Electronics and Appliances,Others,,,,,Mobiles and Tablets,Mobile
Communication,Lifestyle & Wearables,Lifestyle - Premium,Others,,,,,,Mobiles and Tablets,Mobile
Computers Peripherals,Desktops,PC Desktop - Gaming,IT,Desktop and Laptop,Desktop,Desktop Full Set,,,Mobiles and Tablets,Mobile
Communication,Lifestyle & Wearables,Wearables Accessories,Others,,,,,,Mobiles and Tablets,Mobile
Imaging,Digital Cameras,Action & Sports Cam,Electronics and Appliances,Home Appliances,Digital Camera,,,,Mobiles and Tablets,Mobile
Imaging,Digital Cameras,360 Degree Cameras,Electronics and Appliances,Home Appliances,Digital Camera,,,,Mobiles and Tablets,Mobile
Computers Peripherals,Tablets & Detachables,Ins - Tablets,Electronics and Appliances,Mobiles and Tablets,Tablets,,,,Mobiles and Tablets,Mobile
Computers Peripherals,Mobile Computing,Ins - Mobile Computing,Others,,,,,,Mobiles and Tablets,Mobile
Entertainment,TV LCD,LCD Accessories_L,Electronics and Appliances,Home Appliances,Accessories Home Appliances,,,,Mobiles and Tablets,Mobile
Computers Peripherals,Desktops,DELL-DESKTOP-CONS,IT,Desktop and Laptop,Desktop,Desktop Full Set,,,Mobiles and Tablets,Mobile
Communication,Lifestyle & Wearables,ExWty- Smart watches,Electronics and Appliances,Personal care appliances,Smart Watch,,,,Mobiles and Tablets,Mobile
Entertainment,TV LCD,"LED Panels 28""",Electronics and Appliances,Home Appliances,Television,,,,Mobiles and Tablets,Mobile
Computers Peripherals,Gaming Laptops,Pro Gaming Demo,IT,Desktop and Laptop,Others,,,,Mobiles and Tablets,Mobile
Communication,Refurbished Phones,REFB MOBILES,Electronics and Appliances,Mobiles and Tablets,Mobile,,,,Mobiles and Tablets,Mobile
Entertainment,TV LCD,Smart Screen,Electronics and Appliances,Home Appliances,Television,,,,Mobiles and Tablets,Mobile
Communication,Lifestyle & Wearables,Virtual Reality_L,Electronics and Appliances,Others,,,,,Mobiles and Tablets,Mobile
Communication,Smart Phones (OS Based),SP- Smart Phones,Electronics and Appliances,Mobiles and Tablets,Mobile,,,,Mobiles and Tablets,Mobile
