Category (L2),Grade,Disposition,Return Reason,Brand
Shop in Shop,,,,
Shop in Shop,,,,
Shop in Shop,,,,
ECharge,,,,
ECharge,,,,
ECharge,,,,
ECharge,,,,
ECharge,,,,
Simcard,,,,
Simcard,,,,
Simcard,,,,
Simcard,,,,
Shop in Shop,,,,
Imaging Accessories,,,,
Shop in Shop,,,,
Spares,,,,
Simcard,,,,
Simcard,,,,
ECharge,,,,
Croma Bags Plastic & Paper,,,,
Dummy ENT LCD / LED / Plasma,,,,
Dummy IMG Cameras / Camcorders,,,,
Dummy Laptop / Netbook / Tabs,,,,
Dummy Units Misc,,,,
Computer Bags,,,,
Computer Consignments,,,,
Computer Consignments,,,,
Phones Mobile Providers,,,,
Mounts & Stands,,,,
Free Gifts,,,,
Phones Mobile Accessories,,,,
GEEK Services,,,,
Mobile Computing,,,,
Phones Mobile Accessories,,,,
Onsite Service,,,,
CD Regional,,,,
VCD Bollywood,,,,
Digital Cameras,,,,
Digital Cameras,,,,
Camcorders,,,,
Digital Cameras,,,,
Simcard,,,,
Dummies,,,,
Onsite Service,,,,
Gaming Laptops,,,,
Simcard,,,,
Travel Accessories,,,,
Travel Accessories,,,,
Gaming Laptops,,,,
Other Charges,,,,
Other Charges,,,,
Other Charges,,,,
Toys,,,,
Gaming Consoles and Accessories,,,,
Gaming Consoles and Accessories,,,,
Gaming Consoles and Accessories,,,,
Gaming Consoles and Accessories,,,,
Gaming Consoles and Accessories,,,,
Gaming Consoles and Accessories,,,,
Gaming Consoles and Accessories,,,,
Other Charges,,,,
Mobile Computing,,,,
Mobile Computing,,,,
