Vendor Name,Vendor Code,Location,Vendor Type,E-waste certified,Contracted
Network Solution,netwo,,B2B,No,No
Tip Top Footwear,tiptop1,,B2B,No,No
Hi Tech Engineers,hiteche,,B2B,No,No
Ambitious Computers,ambit,,B2B,No,No
Abc Mobile,abcmo,,B2B,No,No
Pal Communication,palco,,B2B,No,No
Sangeetha Mobiles Sales And Service,sangeetha1,,B2B,No,No
Aryan Computers,aryan,,B2B,No,No
National Traders,nationalt,,B2B,No,No
Shoe Kemp,kemp,,B2B,No,No
Selection Foot Ware,selection,,B2B,No,No
Vidya Technologies,vidya,,B2B,No,No
Sooper Cool Sales & Services,socoss,,B2B,No,No
Anurag Infotech,Anuin,,B2B,No,No
Usa Telecom,usatel,,B2B,No,No
Mobile World,world1,,B2B,No,No
Solution Computers,soluc,,B2B,No,No
Galaxy Corporation,galaxyco,,B2B,No,No
Shanti Electronics,shanele,,B2B,No,No
 Ic Mars Private Limited,icmarsp,,B2B,No,No
Techsoft Systems And Laptops,techsoft,,B2B,No,No
Sri Chokker Traders,chokker,,B2B,No,No
Unique Infotech,uniqueinfo,,B2B,No,No
Computer Carnival,carnival,,B2B,No,No
Romus Telecom,romus,,B2B,No,No
Sriram Electronics,sriram,,B2B,No,No
Naaz Communiction,naazcom,,B2B,No,No
Bismillah Refigeretion,bismillah,,B2B,No,No
Dot Com Infotech,dotin,,B2B,No,No
Streamline Corporation,strea,,B2B,No,No
 Shri Memai Computers,memai,,B2B,No,No
 Irh Enterprises,irhenter,,B2B,No,No
New City Fashion,newcity,,B2B,No,No
Shree Krishna Telecom,shrkr,,B2B,No,No
Seventeen Computers,seven,,B2B,No,No
Pglobal Shipping Logistics,pglob,,B2B,No,No
Lg Infosystem,lginf,,B2B,No,No
Computer Express,compe,,B2B,No,No
Computronics,computronics,,B2B,No,No
 Poonani Brothers,poonani,,B2B,No,No
Pelicaninfotech,pelican,,B2B,No,No
Az Research Partners Private Limited  ,azresea,,B2B,No,No
M/S Lata Traders,latatrade,,B2B,No,No
Bharat Metal,bharm,,B2B,No,No
Krazzy Mobiles,krazzy,,B2B,No,No
Testing Technology,testin,,B2B,No,No
Computer Warehouse,comwr,,B2B,No,No
Knab Finance,knabfinance,,B2B,No,No
Sameer,sameershaik,,B2B,No,No
Motifworks,motif,,B2B,No,No
Opt It Technology,optittech,,B2B,No,No
Amazon Seller Services Pvt Ltd,amazon,,B2B,No,No
Narayana Patil & Ca,narayana,,B2B,No,No
Trisys It Services,trisys,,B2B,No,No
